dist,support,nrSegments,information
1.506249,0.271605,2,low
0.773038,0.020576,2,low
5.754343,0.901235,2,low
2.074040,1.000000,2,low
0.383782,0.057613,2,low
1.649637,0.942387,2,low
2.098895,0.176955,2,low
0.796148,0.032922,2,low
2.229496,0.995885,2,low
1.362178,0.987654,2,low
1.194469,0.024691,2,low
0.879295,0.024691,2,low
3.086146,0.069959,2,low
3.637690,0.987654,2,low
1.506249,0.246914,3,low
0.773038,0.008230,3,low
1.470267,0.094650,3,low
3.938413,0.691358,3,low
2.354691,0.551440,3,low
2.074040,0.975309,3,low
0.383782,0.053498,3,low
1.649637,0.913580,3,low
0.796148,0.024691,3,low
2.229496,0.213992,3,low
1.362178,0.325103,3,low
3.671817,0.893004,3,low
1.194469,0.004115,3,low
2.098895,0.000000,3,low
0.879295,0.004115,3,low
3.086146,0.053498,3,low
3.637690,0.930041,3,low
1.506249,0.213992,4,low
0.773038,0.000000,4,low
1.470267,0.049383,4,low
3.938413,0.662551,4,low
2.354691,0.543210,4,low
2.074040,0.131687,4,low
0.383782,0.012346,4,low
1.649637,0.905350,4,low
0.796148,0.020576,4,low
2.229496,0.201646,4,low
1.362178,0.316872,4,low
3.671817,0.855967,4,low
1.194469,0.004115,4,low
2.098895,0.000000,4,low
0.879295,0.004115,4,low
3.086146,0.053498,4,low
3.637690,0.872428,4,low
2.578721,0.991770,2,low
0.941400,0.917695,2,low
1.864974,0.024691,3,low
2.578721,0.942387,3,low
0.941400,0.345679,3,low
1.080467,0.008230,3,low
1.892626,0.000000,3,low
1.864974,0.000000,4,low
2.663215,0.921811,4,low
2.578721,0.934156,4,low
2.682267,0.000000,4,low
0.941400,0.337449,4,low
1.080467,0.008230,4,low
1.892626,0.000000,4,low
2.041684,0.962963,2,low
2.304401,0.769547,2,low
2.284778,0.008230,2,low
1.378249,0.045267,2,low
0.785313,0.045267,2,low
3.720353,0.983539,2,low
3.872748,0.283951,2,low
4.300384,0.489712,2,low
0.782413,0.028807,2,low
4.534991,0.905350,2,low
4.223197,0.230453,2,low
2.434286,0.000000,2,low
1.207236,0.604938,2,low
4.858950,0.432099,3,low
2.041684,0.864198,3,low
4.013085,0.000000,3,low
2.304401,0.761317,3,low
2.284778,0.000000,3,low
2.009395,0.370370,3,low
1.556111,0.008230,3,low
2.307483,0.209877,3,low
1.378249,0.012346,3,low
0.785313,0.016461,3,low
1.096199,0.032922,3,low
3.720353,0.942387,3,low
4.300384,0.300412,3,low
1.477066,0.037037,3,low
3.872748,0.275720,3,low
0.782413,0.020576,3,low
5.558246,0.769547,3,low
1.318294,0.016461,3,low
4.534991,0.000000,3,low
2.896148,0.156379,3,low
1.128463,0.012346,3,low
2.434286,0.000000,3,low
1.207236,0.111111,3,low
1.273762,0.000000,3,low
3.435061,0.452675,3,low
4.858950,0.382716,4,low
2.006998,0.135802,4,low
3.603856,0.004115,4,low
2.307483,0.156379,4,low
2.041684,0.823045,4,low
4.013085,0.000000,4,low
2.304401,0.732510,4,low
2.284778,0.000000,4,low
2.009395,0.337449,4,low
1.556111,0.004115,4,low
4.300384,0.292181,4,low
1.721591,0.028807,4,low
1.378249,0.012346,4,low
0.303812,0.016461,4,low
0.785313,0.016461,4,low
1.096199,0.012346,4,low
2.984953,0.925926,4,low
3.318749,0.032922,4,low
1.477066,0.032922,4,low
3.872748,0.275720,4,low
0.782413,0.012346,4,low
3.386699,0.000000,4,low
5.558246,0.736626,4,low
1.318294,0.016461,4,low
1.629443,0.000000,4,low
2.896148,0.028807,4,low
1.128463,0.004115,4,low
2.434286,0.000000,4,low
1.207236,0.082305,4,low
1.273762,0.000000,4,low
3.435061,0.432099,4,low
3.015057,0.983539,2,low
3.015057,0.958848,3,low
0.591581,0.000000,3,low
3.015057,0.958848,4,low
0.591581,0.000000,4,low
4.863696,0.995885,2,low
8.465407,0.979424,2,low
2.750398,0.991770,2,low
2.566873,0.769547,3,low
4.863696,0.987654,3,low
8.465407,0.958848,3,low
2.750398,0.991770,3,low
1.318621,0.004115,4,low
2.518482,0.106996,4,low
2.566873,0.765432,4,low
4.863696,0.975309,4,low
4.105689,0.925926,4,low
8.465407,0.921811,4,low
2.750398,0.991770,4,low
2.781189,0.860082,2,low
1.931323,0.181070,2,low
1.331405,0.078189,2,low
2.646072,0.078189,2,low
1.972003,0.053498,2,low
0.923608,0.954733,2,low
2.419487,0.748971,2,low
2.078831,0.666667,2,low
1.502674,0.530864,2,low
0.862916,0.061728,2,low
2.158048,0.489712,2,low
2.517707,0.942387,2,low
0.822168,0.061728,2,low
9.683354,0.399177,2,low
7.601929,0.773663,2,low
0.404967,0.045267,2,low
2.793293,0.621399,2,low
3.649487,0.860082,2,low
5.887376,0.925926,2,low
2.781189,0.831276,3,low
6.431415,0.938272,3,low
2.646072,0.061728,3,low
0.599813,0.106996,3,low
0.825180,0.004115,3,low
2.078831,0.641975,3,low
1.502674,0.485597,3,low
0.862916,0.041152,3,low
1.931323,0.024691,3,low
0.119689,0.139918,3,low
0.739861,0.045267,3,low
0.822168,0.016461,3,low
7.601929,0.407407,3,low
3.041726,0.193416,3,low
0.404967,0.024691,3,low
1.216566,0.942387,3,low
6.363994,0.823045,3,low
3.649487,0.761317,3,low
2.294885,0.617284,3,low
1.296508,0.798354,3,low
0.869126,0.201646,3,low
0.908204,0.366255,3,low
1.331405,0.032922,3,low
3.953654,0.757202,3,low
1.972003,0.024691,3,low
2.400794,0.037037,3,low
0.923608,0.917695,3,low
2.419487,0.670782,3,low
4.673763,0.390947,3,low
2.158048,0.213992,3,low
4.033035,0.283951,3,low
3.560019,0.888889,3,low
8.112596,0.827160,3,low
2.517707,0.909465,3,low
7.602719,0.098765,3,low
1.286897,0.720165,3,low
2.793293,0.386831,3,low
2.781189,0.600823,4,low
4.361011,0.448560,4,low
4.413551,0.930041,4,low
2.646072,0.053498,4,low
0.599813,0.106996,4,low
7.601929,0.279835,4,low
0.682154,0.004115,4,low
0.825180,0.000000,4,low
2.078831,0.617284,4,low
1.502674,0.469136,4,low
7.602719,0.065844,4,low
1.738234,0.000000,4,low
0.862916,0.020576,4,low
1.931323,0.032922,4,low
0.119689,0.111111,4,low
0.739861,0.041152,4,low
0.822168,0.016461,4,low
3.041726,0.172840,4,low
5.459382,0.057613,4,low
0.087072,0.000000,4,low
0.404967,0.016461,4,low
1.216566,0.925926,4,low
6.363994,0.703704,4,low
3.649487,0.646091,4,low
2.294885,0.580247,4,low
1.296508,0.765432,4,low
0.869126,0.176955,4,low
0.908204,0.329218,4,low
1.331405,0.012346,4,low
3.953654,0.748971,4,low
0.609014,0.012346,4,low
2.400794,0.024691,4,low
0.923608,0.897119,4,low
2.419487,0.485597,4,low
8.112596,0.304527,4,low
4.673763,0.337449,4,low
2.158048,0.201646,4,low
4.033035,0.283951,4,low
2.793293,0.057613,4,low
3.560019,0.814815,4,low
3.785817,0.362140,4,low
2.517707,0.901235,4,low
1.286897,0.695473,4,low
4.362394,0.004115,4,low
7.907674,0.991770,2,low
4.419063,0.995885,2,low
15.113498,0.995885,2,low
10.390116,0.991770,2,low
1.414111,0.699588,2,low
7.388387,0.991770,2,low
3.056716,0.160494,2,low
10.177588,1.000000,2,low
8.024719,0.962963,2,low
4.419063,0.930041,3,low
7.907674,0.724280,3,low
1.619907,0.790123,3,low
11.100190,0.967078,3,low
10.390116,0.983539,3,low
1.414111,0.041152,3,low
8.202344,0.950617,3,low
3.181225,0.967078,3,low
1.181925,0.008230,3,low
6.253845,0.061728,3,low
7.388387,0.991770,3,low
3.056716,0.123457,3,low
7.916352,0.971193,3,low
8.024719,0.942387,3,low
7.736074,0.646091,3,low
4.419063,0.880658,4,low
7.907674,0.711934,4,low
1.619907,0.773663,4,low
11.100190,0.967078,4,low
10.390116,0.979424,4,low
20.670481,0.012346,4,low
8.202344,0.942387,4,low
3.181225,0.958848,4,low
1.181925,0.008230,4,low
6.253845,0.045267,4,low
7.388387,0.987654,4,low
3.056716,0.045267,4,low
7.916352,0.958848,4,low
1.414111,0.012346,4,low
8.024719,0.934156,4,low
7.736074,0.637860,4,low
0.359912,0.012346,2,low
4.639260,1.000000,2,low
2.745610,1.000000,2,low
4.603022,0.942387,2,low
0.822990,0.049383,2,low
0.359912,0.004115,3,low
4.639260,0.975309,3,low
2.745610,0.995885,3,low
4.603022,0.925926,3,low
0.822990,0.016461,3,low
0.359912,0.004115,4,low
4.639260,0.954733,4,low
3.826919,0.547325,4,low
2.745610,0.987654,4,low
4.603022,0.917695,4,low
0.822990,0.004115,4,low
5.879344,0.213992,2,low
3.055343,1.000000,2,low
1.317115,0.176955,2,low
0.399061,0.362140,2,low
2.039403,0.592593,2,low
16.200090,0.962963,2,low
5.062418,0.160494,2,low
2.258263,0.987654,2,low
1.973828,0.995885,2,low
2.039403,0.218107,3,low
2.023740,0.600823,3,low
11.419105,0.979424,3,low
7.869978,0.975309,3,low
5.879344,0.111111,3,low
3.055343,0.958848,3,low
0.654441,0.012346,3,low
0.399061,0.341564,3,low
1.317115,0.160494,3,low
8.288179,0.954733,3,low
1.799780,0.983539,3,low
5.062418,0.086420,3,low
2.258263,0.967078,3,low
1.973828,0.584362,3,low
4.049195,0.925926,3,low
2.039403,0.156379,4,low
0.399061,0.008230,4,low
1.838723,0.016461,4,low
2.023740,0.576132,4,low
11.419105,0.967078,4,low
7.869978,0.946502,4,low
5.879344,0.037037,4,low
3.055343,0.925926,4,low
0.654441,0.012346,4,low
0.494445,0.320988,4,low
1.317115,0.119342,4,low
8.288179,0.938272,4,low
1.799780,0.962963,4,low
5.062418,0.049383,4,low
2.258263,0.946502,4,low
1.973828,0.576132,4,low
4.049195,0.897119,4,low
1.641032,0.971193,2,low
2.749616,0.037037,2,low
10.224609,0.971193,2,low
0.288945,0.000000,2,low
3.433529,0.995885,2,low
1.166999,0.522634,2,low
1.641032,0.868313,3,low
2.749616,0.016461,3,low
10.224609,0.909465,3,low
0.288945,0.000000,3,low
3.433529,0.967078,3,low
1.391213,0.078189,3,low
1.166999,0.493827,3,low
1.641032,0.851852,4,low
2.749616,0.000000,4,low
10.224609,0.872428,4,low
0.288945,0.000000,4,low
3.433529,0.967078,4,low
1.391213,0.057613,4,low
1.166999,0.485597,4,low
15.236397,0.864198,2,low
1.456160,0.037037,2,low
42.632033,0.983539,2,low
11.560896,0.806584,2,low
6.174967,0.971193,2,low
2.386705,0.395062,2,low
41.382552,0.860082,2,low
0.489610,0.020576,2,low
28.764149,0.987654,2,low
1.858650,0.193416,2,low
31.024468,0.942387,2,low
1.691971,0.954733,2,low
41.529248,0.617284,2,low
0.783113,0.004115,2,low
14.645274,0.876543,2,low
2.099528,0.962963,2,low
0.884016,0.004115,2,low
36.230336,0.728395,2,low
0.725458,0.032922,2,low
38.102153,0.893004,2,low
5.493882,0.411523,2,low
3.864613,0.283951,2,low
28.019955,0.847737,2,low
7.236574,0.991770,2,low
4.209410,0.975309,2,low
6.029447,0.255144,3,low
0.249006,0.008230,3,low
2.838378,0.962963,3,low
8.338146,0.823045,3,low
0.489610,0.004115,3,low
8.484842,0.613169,3,low
0.884016,0.004115,3,low
1.519237,0.263374,3,low
0.725458,0.020576,3,low
5.057747,0.510288,3,low
6.062931,0.897119,3,low
5.493882,0.349794,3,low
3.864613,0.090535,3,low
10.378884,0.835391,3,low
0.783113,0.000000,3,low
3.573997,0.209877,3,low
2.099528,0.045267,3,low
2.612324,0.395062,3,low
5.262331,0.991770,3,low
7.290216,0.008230,3,low
1.456160,0.020576,3,low
3.815517,0.897119,3,low
1.173970,0.037037,3,low
6.174967,0.810700,3,low
2.386705,0.263374,3,low
11.123077,0.872428,3,low
2.098072,0.037037,3,low
1.858650,0.053498,3,low
4.292143,0.847737,3,low
1.691971,0.888889,3,low
2.244424,0.008230,3,low
18.250872,0.353909,3,low
4.594000,0.991770,3,low
1.776817,0.106996,3,low
3.240827,0.041152,3,low
4.150105,0.983539,3,low
9.992911,0.724280,3,low
7.236574,0.958848,3,low
14.645274,0.662551,3,low
1.989036,0.925926,3,low
3.379810,0.106996,3,low
11.560896,0.707819,3,low
0.891254,0.106996,3,low
15.236397,0.193416,3,low
5.981782,0.547325,3,low
1.519237,0.004115,4,low
1.846923,0.032922,4,low
0.249006,0.004115,4,low
2.838378,0.954733,4,low
0.419055,0.000000,4,low
23.686519,0.000000,4,low
0.489610,0.000000,4,low
8.484842,0.580247,4,low
5.363214,0.032922,4,low
0.884016,0.000000,4,low
3.493245,0.032922,4,low
0.725458,0.008230,4,low
5.057747,0.213992,4,low
6.062931,0.880658,4,low
5.493882,0.127572,4,low
3.864613,0.061728,4,low
1.745718,0.164609,4,low
10.378884,0.814815,4,low
0.783113,0.000000,4,low
3.573997,0.127572,4,low
2.099528,0.004115,4,low
2.612324,0.024691,4,low
5.262331,0.967078,4,low
7.290216,0.000000,4,low
1.456160,0.020576,4,low
11.266490,0.860082,4,low
3.815517,0.835391,4,low
1.173970,0.032922,4,low
6.174967,0.798354,4,low
2.386705,0.255144,4,low
1.501328,0.074074,4,low
11.123077,0.843621,4,low
2.098072,0.024691,4,low
1.858650,0.020576,4,low
4.292143,0.818930,4,low
1.691971,0.810700,4,low
2.244424,0.008230,4,low
18.250872,0.230453,4,low
4.594000,0.946502,4,low
1.776817,0.102881,4,low
5.999444,0.189300,4,low
3.240827,0.004115,4,low
4.150105,0.954733,4,low
9.992911,0.699588,4,low
11.321952,0.395062,4,low
7.236574,0.946502,4,low
14.645274,0.633745,4,low
1.989036,0.897119,4,low
3.379810,0.020576,4,low
11.560896,0.683128,4,low
0.891254,0.086420,4,low
6.517279,0.057613,4,low
5.981782,0.506173,4,low
1.829707,1.000000,2,low
3.635249,1.000000,2,low
8.465131,1.000000,2,low
0.617681,0.032922,2,low
1.448168,0.238683,2,low
1.263273,0.946502,2,low
6.820469,0.987654,2,low
1.829707,0.995885,3,low
3.635249,0.979424,3,low
8.465131,0.950617,3,low
0.617681,0.020576,3,low
1.448168,0.218107,3,low
1.263273,0.938272,3,low
6.820469,0.975309,3,low
1.088213,0.032922,3,low
1.829707,0.991770,4,low
2.839549,0.872428,4,low
0.782001,0.000000,4,low
3.635249,0.942387,4,low
8.465131,0.950617,4,low
0.617681,0.012346,4,low
1.448168,0.205761,4,low
1.263273,0.925926,4,low
6.820469,0.962963,4,low
1.088213,0.024691,4,low
4.322305,0.181070,2,low
10.852743,1.000000,2,low
4.678583,0.995885,2,low
9.774830,0.847737,3,low
4.322305,0.053498,3,low
10.852743,0.958848,3,low
4.678583,0.967078,3,low
9.774830,0.839506,4,low
4.322305,0.012346,4,low
10.852743,0.946502,4,low
4.678583,0.958848,4,low
10.282464,0.695473,4,low
10.212994,0.872428,4,low
4.856387,0.954733,2,low
4.682186,0.864198,2,low
2.483585,0.909465,2,low
8.109463,0.901235,2,low
6.376415,0.588477,2,low
5.060477,0.975309,2,low
1.286900,0.893004,2,low
1.225419,0.456790,2,low
4.856387,0.905350,3,low
1.479577,0.950617,3,low
1.286900,0.144033,3,low
4.682186,0.827160,3,low
7.338049,0.962963,3,low
4.481980,0.979424,3,low
2.483585,0.473251,3,low
5.027457,0.958848,3,low
8.109463,0.465021,3,low
6.376415,0.580247,3,low
5.060477,0.942387,3,low
9.488104,0.995885,3,low
15.859964,0.230453,3,low
1.225419,0.436214,3,low
3.496805,0.831276,4,low
1.479577,0.950617,4,low
1.286900,0.106996,4,low
15.390577,0.950617,4,low
4.682186,0.786008,4,low
7.338049,0.938272,4,low
4.481980,0.958848,4,low
2.483585,0.473251,4,low
5.027457,0.946502,4,low
8.109463,0.465021,4,low
6.376415,0.572016,4,low
3.700894,0.880658,4,low
1.903493,0.469136,4,low
9.488104,0.987654,4,low
15.859964,0.209877,4,low
1.225419,0.432099,4,low
9.238899,0.995885,2,low
1.649885,0.037037,2,low
4.750528,0.572016,2,low
9.344039,0.641975,2,low
3.295143,0.950617,2,low
2.912230,0.967078,2,low
13.053773,0.699588,2,low
1.385596,0.189300,2,low
16.764824,0.028807,2,low
8.666563,0.983539,2,low
5.981926,0.921811,2,low
4.536910,0.876543,2,low
2.118387,0.971193,2,low
